,Custkey,Recency,Frequency,Monetary,Recency_pt_mm,Frequency_pt_mm,Monetary_pt_mm,Cluster,R,F,M,RFM_score,RFM_class
0,10000453,0.0022675736961451248,10,8422.15,0.0017309863172371154,0.2945860424082739,0.30943458820873415,2,1,2,2,5,family
1,10000455,0.007194244604316547,19,22403.73,0.2758977636733437,0.37612506331196915,0.39632802305207837,1,1,3,3,7,silver
2,10000456,0.009174311926605505,23,104994.68,0.32870525174509296,0.40034768010034083,0.5380494830722631,1,2,3,4,9,gold
3,10000457,0.008928571428571428,3,14284.800000000001,0.3228881719538712,0.14095891508431174,0.3560867256470316,2,2,1,2,5,family
4,10000458,0.058823529411764705,4,4994.49,0.6829059361293079,0.17774785815218136,0.2639140780696303,3,4,1,2,7,silver
5,10000460,0.1,120,96533.04000000001,0.7696985955511401,0.6088707109553725,0.5301947496544157,0,4,5,4,13,diamond
6,10000461,0.011363636363636364,188,281810.64,0.37386479685935575,0.6652545589463787,0.6316292993390364,1,2,5,5,12,platinum
7,10000462,0.004651162790697674,3,1648.46,0.1769978277492158,0.14095891508431174,0.16934898073733096,2,1,1,1,3,family
8,10000466,0.1,44,27663.75,0.7696985955511401,0.48242608957198246,0.41534694610341755,0,4,4,3,11,platinum
9,10000469,0.010526315789473684,85,81443.15,0.35785382966866774,0.5654795705793355,0.5143565455896556,1,2,4,4,10,gold
10,10000471,0.01020408163265306,34,499743.6,0.3513058055249202,0.44983393920003467,0.6870250655123067,1,2,4,5,11,platinum
11,10000472,0.3333333333333333,74,71371.35,0.9463178525890044,0.5480211124013578,0.5021040781765947,0,5,4,4,13,diamond
12,10000473,0.02564102564102564,8,5643.73,0.5348502935920366,0.2661797888452259,0.27450572164219106,3,3,2,2,7,silver
13,10000474,0.024390243902439025,5,2937.96,0.5254272889896768,0.20624865979268214,0.21831066026781346,3,3,2,1,6,family
14,10000475,0.008928571428571428,41,24624.690000000002,0.3228881719538712,0.4735033358021039,0.40483944000057354,1,2,4,3,9,gold
15,10000478,0.010416666666666666,103,70202.79,0.3556513304156278,0.5896574843209118,0.5005747587379491,1,2,5,4,11,platinum
16,10000481,0.011904761904761904,23,16915.059999999998,0.3835206328390614,0.40034768010034083,0.3711446635641892,1,2,3,3,8,silver
17,10000486,0.0022522522522522522,3,1106.29,0.0,0.14095891508431174,0.13597922169802756,2,1,1,1,3,family
18,10000499,0.002288329519450801,1,2006.58,0.004055040853004399,0.0,0.18592392404764446,2,1,1,1,3,family
19,10000601,0.011904761904761904,22,18972.79,0.3835206328390614,0.39471391841866843,0.38141039701396157,1,2,3,3,8,silver
20,10002114,0.04,1,264.68,0.6160699057642254,0.0,0.019087682610671286,3,4,1,1,6,family
21,10002136,0.5,25,40251.68,1.0,0.4109121250815985,0.44942361887224924,0,5,3,3,11,platinum
22,10002137,0.2,7,5393.92,0.8746497341094956,0.24916665658128767,0.27057815159859655,3,5,2,2,9,gold
23,10002139,0.2,1,3162.38,0.8746497341094956,0.0,0.22459980485820075,3,5,1,1,7,silver
24,10002140,0.012195121951219513,1,499.57,0.3885001161302363,0.0,0.07047319017985659,3,3,1,1,5,family
25,10002142,0.2,60,278532.51,0.8746497341094956,0.5215794012095482,0.6305063339666881,0,5,4,5,14,diamond
26,10002144,0.0022522522522522522,1,287.25,0.0,0.0,0.025660270623202086,2,1,1,1,3,family
27,10002149,0.0022675736961451248,1,294.72,0.0017309863172371154,0.0,0.027725131667981573,2,1,1,1,3,family
28,10002150,0.015151515151515152,3,1349.3999999999999,0.43267694706352855,0.14095891508431174,0.15255715853091745,3,3,1,1,5,family
29,10002155,0.0022624434389140274,2,551.5799999999999,0.0011528509403034848,0.08902158843220692,0.07856071506291706,2,1,1,1,3,family
30,10002161,0.5,278,228881.79,1.0,0.7142840784824,0.611713920544536,0,5,5,5,15,diamond
31,10002220,0.011363636363636364,392,283543.42,0.37386479685935575,0.757279440733742,0.6322177542133829,1,2,5,5,12,platinum
32,10002240,0.041666666666666664,3,735.21,0.6232995952710287,0.14095891508431174,0.10214420852241052,3,4,1,1,6,family
33,10002489,0.012048192771084338,32,26403.37,0.3859972714509343,0.44216453565255975,0.4111327700782357,1,3,3,3,9,gold
34,10002501,0.1111111111111111,39,82840.06,0.7862500675698296,0.46718253309705454,0.5159380441523501,0,4,4,4,12,platinum
35,10002506,0.5,714,600418.78,1.0,0.8321329358185114,0.7049460438219206,0,5,5,5,15,diamond
36,10002520,0.0045045045045045045,10,26752.920000000002,0.16951568962956992,0.2945860424082739,0.41232083344640696,2,1,2,3,6,family
37,10002526,0.003105590062111801,7,8422.58,0.08041856310304091,0.24916665658128767,0.3094390658156008,2,1,2,2,5,family
38,10002709,0.029411764705882353,32,39521.75,0.5603980616082019,0.44216453565255975,0.44775311169332294,1,3,3,3,9,gold
39,10002746,0.1,6,4968.58,0.7696985955511401,0.22951288879503925,0.26346403881580976,3,4,2,2,8,silver
40,10002765,0.25,203,179026.75,0.906526372288319,0.6748832414731153,0.5883318873337603,0,5,5,5,15,diamond
41,10002969,0.0022624434389140274,3,4136.69,0.0011528509403034848,0.14095891508431174,0.24764759111811685,2,1,1,2,4,family
42,10003749,0.004807692307692308,35,112507.91,0.1846958907461838,0.4535002609504273,0.5445230951682387,1,1,4,4,9,gold
43,10003795,0.01020408163265306,12,6517.969999999999,0.3513058055249202,0.31777309505070467,0.28703021524871736,3,2,2,2,6,family
44,10003857,0.1,28,58140.119999999995,0.7696985955511401,0.42526409431318807,0.4831554163676931,0,4,3,4,11,platinum
45,10004207,0.0022675736961451248,6,4247.67,0.0017309863172371154,0.22951288879503925,0.24992818145195855,2,1,2,2,5,family
46,10004245,0.004545454545454545,9,111760.13,0.1716321657342625,0.2811773978198188,0.5438979679855143,1,1,2,4,7,silver
47,10004255,0.3333333333333333,89,84806.45,0.9463178525890044,0.5712700047936928,0.5181207950148415,0,5,5,4,14,diamond
48,10004256,0.009900990099009901,31,22872.53,0.34493061252369744,0.43814723227331054,0.39819104744915734,1,2,3,3,8,silver
49,10004302,0.012048192771084338,87,53293.909999999996,0.3859972714509343,0.5684082285169171,0.47514241156326503,1,3,5,4,12,platinum
50,10004516,0.011494252873563218,8,152283.55000000002,0.37624223513362387,0.2661797888452259,0.5730136959560639,1,2,2,5,9,gold
51,10004602,0.16666666666666666,17,10773.71,0.8479288988123537,0.3620132875267223,0.3310992847829282,0,5,3,2,10,gold
52,10005006,0.3333333333333333,194,372989.73,0.9463178525890044,0.6691955911581344,0.6586339412536577,0,5,5,5,15,diamond
53,10005043,0.008695652173913044,34,169690.27000000002,0.31720565503109655,0.44983393920003467,0.5832537878214601,1,2,4,5,11,platinum
54,10005099,0.0022727272727272726,2,6231.49,0.002310268094488477,0.08902158843220692,0.2831163777206452,2,1,1,2,4,family
55,10005236,0.043478260869565216,4,4249.16,0.6307974084369571,0.17774785815218136,0.24995840366587152,3,4,1,2,7,silver
56,10005376,0.0022522522522522522,1,424.53,0.0,0.0,0.05722648771629579,2,1,1,1,3,family
57,10005810,0.004149377593360996,3,63547.56,0.15019941084056315,0.14095891508431174,0.49136178517276263,2,1,1,4,6,family
58,10005861,0.01694915254237288,3,1084.43,0.4550246800418777,0.14095891508431174,0.13431836341888514,3,3,1,1,5,family
59,10005919,0.002288329519450801,2,1276.13,0.004055040853004399,0.08902158843220692,0.14788953750870087,2,1,1,1,3,family
60,10006037,0.009615384615384616,76,108107.12,0.338718753261802,0.5513815588814245,0.5407843326222312,1,2,4,4,10,gold
61,10006093,0.07692307692307693,29,22001.57,0.7275121545254131,0.4297064859034904,0.3946993081846136,0,4,3,3,10,gold
62,10006805,0.011904761904761904,22,15019.7,0.3835206328390614,0.39471391841866843,0.36054953507606585,1,2,3,2,7,silver
63,10006836,0.3333333333333333,195,186743.07,0.9463178525890044,0.6698405020000832,0.5923376850203835,0,5,5,5,15,diamond
64,10006846,0.021739130434782608,6,14377.509999999998,0.5035182940022825,0.22951288879503925,0.35666189554988575,3,3,2,2,7,silver
65,10006862,0.011111111111111112,136,88822.59,0.3691798849271981,0.6246022047808122,0.5224296565973052,1,2,5,4,11,platinum
66,10006916,0.05,4,1818.33,0.6551377619305773,0.17774785815218136,0.17760758298147714,3,4,1,1,6,family
67,10006917,0.03333333333333333,15,11276.61,0.5833209770918464,0.34612418700105313,0.33512820706750235,3,4,3,2,9,gold
68,10006983,0.05,4,2307.87,0.6551377619305773,0.17774785815218136,0.19776976607331928,3,4,1,1,6,family
69,10007117,0.009615384615384616,13,43352.270000000004,0.338718753261802,0.32794626195388693,0.45620544742459207,1,2,2,3,7,silver
70,10007120,0.010638297872340425,17,13193.960000000001,0.3600766766859064,0.3620132875267223,0.34903181173702125,1,2,3,2,7,silver
71,10007121,0.0625,142,132639.79,0.6931191239500518,0.6300262357496387,0.5599882037166426,0,4,5,4,13,diamond
72,10007122,0.008928571428571428,3,1708.53,0.3228881719538712,0.14095891508431174,0.17236042913490537,2,2,1,1,4,family
73,10007123,0.16666666666666666,95,80518.16,0.8479288988123537,0.5794828854929547,0.5132947161094753,0,5,5,4,14,diamond
74,10007134,0.010416666666666666,235,918067.02,0.3556513304156278,0.6932341368507895,0.7467360116702355,1,2,5,5,12,platinum
75,10007183,0.1,47,363929.04,0.7696985955511401,0.49075736033271394,0.6562570343350005,0,4,4,5,13,diamond
76,10007258,0.05,3,1339.32,0.6551377619305773,0.14095891508431174,0.15192987989776685,3,4,1,1,6,family
77,10007309,0.010526315789473684,23,193096.0,0.35785382966866774,0.40034768010034083,0.5955164592615202,1,2,3,5,10,gold
78,10007355,0.007246376811594203,32,33754.36,0.277489510000549,0.44216453565255975,0.4333867615838542,1,1,3,3,7,silver
79,10007457,0.002257336343115124,3,14334.41,0.0005758571089746756,0.14095891508431174,0.3563949553567855,2,1,1,2,4,family
80,10007564,0.03125,26,92646.46,0.5715464047966584,0.4158799270018081,0.5263593374941321,1,4,3,4,11,platinum
81,10007566,0.018518518518518517,12,15260.72,0.47245305883991046,0.31777309505070467,0.36196693625304766,3,3,2,2,7,silver
82,10007577,0.022727272727272728,22,16928.86,0.5120196227559333,0.39471391841866843,0.3712174807790215,1,3,3,3,9,gold
83,10007591,0.16666666666666666,100,190213.94999999998,0.8479288988123537,0.585938199462706,0.5940872125602026,0,5,5,5,15,diamond
84,10007866,0.5,28,111685.31,1.0,0.42526409431318807,0.5438351960452578,0,5,3,4,12,platinum
85,10008134,0.030303030303030304,131,114720.47,0.5658984391884021,0.6198952317402742,0.5463493128888849,1,3,5,4,12,platinum
86,10008381,0.014705882352941176,1,1388.09,0.4266729355828407,0.0,0.15492317842613323,3,3,1,1,5,family
87,10008593,0.1111111111111111,40,110492.33,0.7862500675698296,0.47038263297677774,0.542828745138594,0,4,4,4,12,platinum
88,10008596,0.008928571428571428,13,43103.67,0.3228881719538712,0.32794626195388693,0.4556794061726844,1,2,2,3,7,silver
89,10008602,0.5,27,70012.03,1.0,0.4206593375672106,0.5003227546894158,0,5,3,4,12,platinum
90,10008638,0.015384615384615385,2,22415.14,0.4357387879214764,0.08902158843220692,0.3963738159243991,3,3,1,3,7,silver
91,10008893,0.07692307692307693,23,35100.5,0.7275121545254131,0.40034768010034083,0.4369428977325237,0,4,3,3,10,gold
92,10009156,0.02631578947368421,3,1327.9099999999999,0.539721163217647,0.14095891508431174,0.1512142612222821,3,3,1,1,5,family
93,10009356,0.012048192771084338,162,907673.62,0.3859972714509343,0.6465744190476417,0.7456095735659714,1,3,5,5,13,diamond
94,10009606,0.020833333333333332,244,1958206.43,0.4953339547143159,0.6979436226421084,0.8224273381018146,1,3,5,5,13,diamond
95,10009623,0.003257328990228013,1,824.39,0.09208340049912561,0.0,0.1115885073838711,2,1,1,1,3,family
96,10009631,0.008695652173913044,40,29300.81,0.31720565503109655,0.47038263297677774,0.4205496217544583,1,2,4,3,9,gold
97,10009633,0.030303030303030304,38,18669.82,0.5658984391884021,0.46389890081890217,0.37996910213512225,1,3,4,3,10,gold
98,10009639,0.058823529411764705,53,56956.4,0.6829059361293079,0.5059262387662545,0.48125997553329203,0,4,4,4,12,platinum
99,10009642,0.004464285714285714,2,1444.82,0.16741580578239618,0.08902158843220692,0.15827872275920496,2,1,1,1,3,family
100,10009643,0.5,34,22624.67,1.0,0.44983393920003467,0.3972107297510813,0,5,4,3,12,platinum
101,10009647,0.0037174721189591076,10,5108.27,0.12402940094767201,0.2945860424082739,0.2658638073381835,2,1,2,2,5,family
102,10009650,0.0022935779816513763,6,9150.46,0.004638957417609391,0.22951288879503925,0.31671629953041386,2,1,2,2,5,family
103,10009652,0.5,95,672010.64,1.0,0.5794828854929547,0.7159873962735004,0,5,5,5,15,diamond
104,10009653,0.25,82,258001.79,0.906526372288319,0.5609541322744108,0.6231660112418728,0,5,4,5,14,diamond
105,10009654,0.022727272727272728,11,26159.82,0.5120196227559333,0.30670980390389146,0.4102958904243689,3,3,2,3,8,silver
106,10009656,0.0035335689045936395,6,2403.1,0.1118263689337336,0.22951288879503925,0.20120161999142544,2,1,2,1,4,family
107,10009657,0.01694915254237288,16,18961.03,0.4550246800418777,0.35431835694665165,0.38135487173263927,1,3,3,3,9,gold
108,10009660,0.012658227848101266,1,9304.83,0.39617201507679545,0.0,0.3181869632025491,3,3,1,2,6,family
109,10009662,0.05555555555555555,6,6538.200000000001,0.6732047448919312,0.22951288879503925,0.28730022281537904,3,4,2,2,8,silver
110,10009669,0.011235955056179775,88,62856.51,0.3715108441283499,0.5698472858518047,0.49035181598305616,1,2,5,4,11,platinum
111,10009672,0.08333333333333333,28,48282.01,0.7405311066727202,0.42526409431318807,0.4660712330033971,0,4,3,3,10,gold
112,10009676,0.0022624434389140274,9,647063.34,0.0011528509403034848,0.2811773978198188,0.7122758288231376,1,1,2,5,8,silver
113,10009679,0.010416666666666666,30,17637.41,0.3556513304156278,0.4339975489077865,0.37488057444645023,1,2,3,3,8,silver
114,10009697,0.003246753246753247,1,767.75,0.09129042404467219,0.0,0.10571349798862101,2,1,1,1,3,family
115,10009863,0.0033444816053511705,16,56910.6,0.09850974282545699,0.35431835694665165,0.48118586902323573,1,1,3,4,8,silver
116,10009885,0.0036900369003690036,17,11750.57,0.12225261981507785,0.3620132875267223,0.33876814412488065,2,1,3,2,6,family
117,10009907,0.1111111111111111,68,131049.18,0.7862500675698296,0.5373632561284123,0.5588525496881596,0,4,4,4,12,platinum
118,10009985,0.011494252873563218,238,893484.54,0.37624223513362387,0.6948238077923751,0.7440512994342372,1,2,5,5,12,platinum
119,10010698,0.007246376811594203,7,3183.39,0.277489510000549,0.24916665658128767,0.22516614767405987,2,1,2,1,4,family
120,10010717,0.16666666666666666,8,27190.579999999998,0.8479288988123537,0.2661797888452259,0.41378722536434825,0,5,2,3,10,gold
121,10010855,0.1111111111111111,33,26221.12,0.7862500675698296,0.44605762642005914,0.4105072403887633,0,4,4,3,11,platinum
122,10010882,0.5,2,9427.86,1.0,0.08902158843220692,0.3193421311590571,3,5,1,2,8,silver
123,10010884,0.011363636363636364,199,233821.12,0.37386479685935575,0.6723873353267704,0.6137529916886647,1,2,5,5,12,platinum
124,10010886,0.00980392156862745,63,49669.27,0.34284229032842545,0.5277332723421408,0.468670689434056,1,2,4,4,10,gold
125,10010887,0.011363636363636364,52,33936.86,0.37386479685935575,0.5035218823961366,0.43387689088662607,1,2,4,3,9,gold
126,10010897,0.008695652173913044,12,11482.66,0.31720565503109655,0.31777309505070467,0.3367286084585584,1,2,2,2,6,family
127,10010906,0.0022935779816513763,16,20398.64,0.004638957417609391,0.35431835694665165,0.3879057220866591,2,1,3,3,7,silver
128,10010912,0.010416666666666666,182,156770.15,0.3556513304156278,0.661185064625601,0.5757581456773456,1,2,5,5,12,platinum
129,10010914,0.011235955056179775,171,142546.61000000002,0.3715108441283499,0.6533614018396037,0.566776078665538,1,2,5,4,11,platinum
130,10010923,0.5,44,349418.23,1.0,0.48242608957198246,0.6523275587645501,0,5,4,5,14,diamond
131,10010935,0.029411764705882353,64,366283.55,0.5603980616082019,0.5297192949305867,0.6568801949829621,1,3,4,5,12,platinum
132,10010969,0.00980392156862745,15,13671.49,0.34284229032842545,0.34612418700105313,0.35218759104727726,1,2,3,2,7,silver
133,10010970,0.5,21,16588.72,1.0,0.38881674311320913,0.36940561188504073,0,5,3,3,11,platinum
134,10010974,0.003134796238244514,1,796.23,0.08271298820188694,0.0,0.10871850782669223,2,1,1,1,3,family
135,10011052,0.0022935779816513763,2,895.6899999999999,0.004638957417609391,0.08902158843220692,0.11844866301056373,2,1,1,1,3,family
136,10011089,0.08333333333333333,2,709.01,0.7405311066727202,0.08902158843220692,0.09915666124218198,3,4,1,1,6,family
137,10011093,0.03333333333333333,15,38785.68,0.5833209770918464,0.34612418700105313,0.4460378318049718,3,4,3,3,10,gold
138,10011198,0.014492753623188406,6,3561.35,0.42372857454114116,0.22951288879503925,0.23477642010882732,3,3,2,1,6,family
139,10011345,0.002288329519450801,11,42631.05,0.004055040853004399,0.30670980390389146,0.4546711326108514,2,1,2,3,6,family
140,10011360,0.3333333333333333,12,29858.58,0.9463178525890044,0.31777309505070467,0.4222577404130436,0,5,2,3,10,gold
141,10011398,0.020833333333333332,114,64307.92,0.4953339547143159,0.6024210367003107,0.4924607604548506,1,3,5,4,12,platinum
142,10011499,0.08333333333333333,26,12744.32,0.7405311066727202,0.4158799270018081,0.345956923264626,0,4,3,2,9,gold
143,10011521,0.007936507936507936,4,5614.650000000001,0.2974208166576952,0.17774785815218136,0.2740573274068473,2,2,1,2,5,family
144,10011546,0.5,42,46000.95,1.0,0.47654847745616846,0.4616344774941094,0,5,4,3,12,platinum
145,10011600,0.041666666666666664,5,2377.58,0.6232995952710287,0.20624865979268214,0.2002951206464605,3,4,2,1,7,silver
146,10011623,0.3333333333333333,19,11325.16,0.9463178525890044,0.37612506331196915,0.33550784803340267,0,5,3,2,10,gold
147,10011724,0.004761904761904762,2,734.1,0.18247362984142873,0.08902158843220692,0.10201975618817061,2,1,1,1,3,family
148,10011732,0.004149377593360996,10,11637.189999999999,0.15019941084056315,0.2945860424082739,0.33791059579200167,2,1,2,2,5,family
149,10011734,0.011904761904761904,103,55005.479999999996,0.3835206328390614,0.5896574843209118,0.4780506644429608,1,2,5,4,11,platinum
150,10011821,0.07692307692307693,2,780.9,0.7275121545254131,0.08902158843220692,0.10711425696326354,3,4,1,1,6,family
151,10011842,0.01639344262295082,8,10963.42,0.4484129633497051,0.2661797888452259,0.3326402347618164,3,3,2,2,7,silver
152,10011870,0.0022935779816513763,2,36892.8,0.004638957417609391,0.08902158843220692,0.4414768022263508,2,1,1,3,5,family
153,10011979,0.006944444444444444,84,128167.25,0.2680860023891778,0.5639891720270412,0.5567602868011399,1,1,4,4,9,gold
154,10011981,0.0136986301369863,31,17869.46,0.41231192392269855,0.43814723227331054,0.3760491224763378,1,3,3,3,9,gold
155,10011997,0.008695652173913044,19,10290.64,0.31720565503109655,0.37612506331196915,0.3270528368729005,1,2,3,2,7,silver
156,10012128,0.0625,13,50608.189999999995,0.6931191239500518,0.32794626195388693,0.470390206624214,0,4,2,4,10,gold
157,10012158,0.03333333333333333,3,6862.29,0.5833209770918464,0.14095891508431174,0.2915182823114118,3,4,1,2,7,silver
158,10012161,0.0022675736961451248,3,29210.59,0.0017309863172371154,0.14095891508431174,0.42027035847836375,2,1,1,3,5,family
159,10012226,0.012048192771084338,39,49959.24,0.3859972714509343,0.46718253309705454,0.4692050902789165,1,3,4,4,11,platinum
160,10012234,0.007751937984496124,13,8188.259999999999,0.2922873950832233,0.32794626195388693,0.30696545804500425,2,2,2,2,6,family
161,10012235,0.007692307692307693,42,227912.65,0.2905994207238807,0.47654847745616846,0.6113088100683064,1,2,4,5,11,platinum
162,10012369,0.01818181818181818,1,322.94,0.46885773171938705,0.0,0.0350907834519561,3,3,1,1,5,family
163,10012422,0.01639344262295082,348,300187.03,0.4484129633497051,0.7423910863264704,0.637697932316746,1,3,5,5,13,diamond
164,10012425,0.0035971223021582736,3,22988.44,0.11612279058757208,0.14095891508431174,0.3986459396117847,2,1,1,3,5,family
165,10012600,0.029411764705882353,7,10425.65,0.5603980616082019,0.24916665658128767,0.3282020814279232,3,3,2,2,7,silver
166,10012715,0.012048192771084338,1420,1823351.63,0.3859972714509343,0.9176960217064167,0.8152346534219062,1,3,5,5,13,diamond
167,10012761,0.0035971223021582736,8,8183.22,0.11612279058757208,0.2661797888452259,0.30691149880385,2,1,2,2,5,family
168,10013011,0.008928571428571428,14,23701.41,0.3228881719538712,0.3373616637600171,0.4013958037408066,1,2,3,3,8,silver
169,10013039,0.0625,1,216.2,0.6931191239500518,0.0,0.0028970546065368863,3,4,1,1,6,family
170,10013052,0.3333333333333333,4,925.3,0.9463178525890044,0.17774785815218136,0.1211424185604531,3,5,1,1,7,silver
171,10013061,0.01694915254237288,19,14659.460000000001,0.4550246800418777,0.37612506331196915,0.3583891578993293,1,3,3,2,8,silver
172,10013080,0.0022935779816513763,7,6765.75,0.004638957417609391,0.24916665658128767,0.29028246216896314,2,1,2,2,5,family
173,10013127,0.0136986301369863,3,2744.07,0.41231192392269855,0.14095891508431174,0.21248807187245813,3,3,1,1,5,family
174,10013188,0.08333333333333333,90,76669.69,0.7405311066727202,0.5726767513231898,0.5087454335853597,0,4,5,4,13,diamond
175,10013232,0.07692307692307693,16,16535.35,0.7275121545254131,0.35431835694665165,0.369118038080403,0,4,3,3,10,gold
